EAR,MAR,Head_Tilt,Label
0.3021373520236639,0.17807362217773223,-0.535957735,0
0.31395982266057787,0.18325645953468492,-0.26249811,0
0.30328802980464165,0.13567989815653375,-0.8682989,0
0.31590878871964956,0.11050521051701603,-0.298015531,0
0.30952337069091196,0.13433098277034694,-0.808537854,0
0.3021233804988348,0.07455857243225848,-0.513377208,0
0.2771817525784124,0.03862319214052602,-1.176163425,0
0.29064147761498316,0.008083250563071302,-1.436662258,0
0.29967585069293734,0.005401473195541964,-1.255973617,0
0.29220746208572945,0.01860001523773476,-1.531721687,0
0.3017277823333815,0.01550025505686716,-1.44742502,0
0.310472208297585,0.006125133102413439,-1.431332289,0
0.3065075273527213,0.008983148848173356,-1.481604561,0
0.29367146177779313,0.013622557389521303,-1.244756069,0
0.11384474858217578,0.009198280779700762,-1.367173559,0
0.27549566357515004,0.033739106701081725,-1.569605291,0
0.28260800392464547,0.03604507018904468,-1.519102003,0
0.2758813962446719,0.1850450468313765,-1.226174082,0
0.27777206506582763,0.22478535384084,-1.734635308,0
0.27845482443643665,0.2376204094851142,-1.993777199,0
0.2780989232362523,0.1877026202969278,-1.717364943,0
0.2897777375193712,0.04435923555441421,-1.641105013,0
0.2865431532669647,0.00787788556568737,-1.906228246,0
0.28305470184050735,0.009977396597795857,-1.6157878,0
0.30154950161209726,0.027616964076128698,-1.640071869,0
0.28515550222251185,0.018593553286480005,-1.568602793,0
0.2694317580569656,0.029695021678119615,-1.849988542,0
0.25717203648259074,0.009679173123894656,-2.230792681,0
0.2832207561387702,0.014635327430349397,-1.656979449,0
0.2840467494566848,0.010072651995172594,-2.088241567,0
0.29046914130351686,0.11370043303422461,-1.533355703,0
0.2946791421493852,0.010096292868630828,-1.487037107,0
0.29573163708910644,0.010900751890217797,-1.78748679,0
0.30449469807840723,0.009462125256366897,-2.175657922,0
0.29262786005203895,0.061759612625963495,-1.629340896,0
0.2942143850221265,0.012604838552994498,-2.153280818,0
0.2894637303444525,0.008747314633027428,-1.738159888,0
0.2854405011606129,0.0445012298932571,-1.966326653,0
0.29809983165986836,0.015114608525526173,-1.633034287,0
0.2943380556924009,0.01272986604965009,-1.846597434,0
0.29076963717822857,0.03452710982241777,-1.783136261,0
0.28201454812291493,0.0415055712586886,-1.858712647,0
0.2915598279636323,0.006641340849530497,-1.616875488,0
0.29478310333477536,0.005882157457672868,-1.720030699,0
0.2873885252073949,0.010479425828905523,-2.02487716,0
0.06205399074642097,0.03224037811680111,-1.672217899,0
0.25331659191646494,0.019891790124440787,-1.85263255,0
0.2660489256381123,0.019160710982280137,-1.896528995,0
0.26673592647621547,0.01418504222921155,-1.829692725,0
0.27333981338434776,0.010388058533565312,-1.728323095,0
0.2859731470848632,0.014964016279512823,-1.98377047,0
0.2808011570079777,0.16971597556666862,-2.052242445,0
0.2795317026895825,0.13571548185103122,-2.164073898,0
0.2925496100496263,0.14765050201517171,-1.915019676,0
0.28222428078947587,0.13202464646746565,-1.596225461,0
0.2871297728115496,0.14843557523776313,-2.215109628,0
0.289012341796933,0.1690422619894989,-1.808252582,0
0.2784648693344648,0.15211977911119423,-2.103312932,0
0.2806643027367988,0.1411514711888126,-1.983284591,0
0.28576330060062516,0.15213772897898148,-1.88755051,0
0.2848383394306504,0.1534804160230977,-1.920717697,0
0.2964205089574675,0.1632712027271104,-1.953171545,0
0.281942857504498,0.15066610757288015,-1.675844762,0
0.24664151966915318,0.11398459525619899,-2.374007185,0
0.271468269476307,0.16523164312272337,-2.08336587,0
0.278505703283359,0.15443848425683224,-2.234998753,0
0.29123761542464627,0.07985156286001703,-2.013722341,0
0.2936026324855785,0.11531153357460962,-2.023568741,0
0.28168327303336527,0.11142029064531654,-1.842668132,0
0.2945924430422934,0.07286520590251964,-1.7170617,0
0.2886860633436953,0.10151013796666976,-1.705331877,0
0.29901792969059854,0.09369595064774258,-1.200557084,0
0.29403483008005826,0.13845900074636447,-1.149837892,0
0.3019478509575499,0.07485416931433936,-1.45567965,0
0.29086353807684395,0.1259525227896713,-1.692414419,0
0.04276100726706148,0.07164514777626016,-1.570669594,0
0.22497697201573594,0.039299047932495675,-2.174872578,0
0.26791312992218363,0.11030204741569695,-1.80655078,0
0.27759694996109985,0.129012026160565,-1.526891419,0
